name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
security_definer_view,Security Definer View,ERROR,EXTERNAL,"[""SECURITY""]","Detects views defined with the SECURITY DEFINER property. These views enforce Postgres permissions and row level security policies (RLS) of the view creator, rather than that of the querying user",View \`public.solution_coverage_stats\` is defined with the SECURITY DEFINER property,https://supabase.com/docs/guides/database/database-linter?lint=0010_security_definer_view,"{""name"":""solution_coverage_stats"",""type"":""view"",""schema"":""public""}",security_definer_view_public_solution_coverage_stats
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.goal_implementation_links_backup_cost_migration_20251016\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""goal_implementation_links_backup_cost_migration_20251016"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_goal_implementation_links_backup_cost_migration_20251016
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.solutions_backup_3cat_20250921\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""solutions_backup_3cat_20250921"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_solutions_backup_3cat_20250921
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.expansion_progress\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""expansion_progress"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_expansion_progress
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.solutions_backup_pmr_20250921\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""solutions_backup_pmr_20250921"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_solutions_backup_pmr_20250921
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.goal_implementation_links_backup_pmr_20250921\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""goal_implementation_links_backup_pmr_20250921"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_goal_implementation_links_backup_pmr_20250921
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.goal_implementation_links_backup_khan_20250921\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""goal_implementation_links_backup_khan_20250921"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_goal_implementation_links_backup_khan_20250921
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.solutions_backup_khan_20250921\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""solutions_backup_khan_20250921"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_solutions_backup_khan_20250921
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.aggregation_queue\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""aggregation_queue"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_aggregation_queue
rls_disabled_in_public,RLS Disabled in Public,ERROR,EXTERNAL,"[""SECURITY""]",Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST,"Table \`public.platform_stats_cache\` is public, but RLS has not been enabled.",https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public,"{""name"":""platform_stats_cache"",""type"":""table"",""schema"":""public""}",rls_disabled_in_public_public_platform_stats_cache